id,manufacturer_id,dtc,description
1,1,P1674,Tachometer Control Circuit
2,1,P1760,TCM Supply Voltage Interrupted
3,1,P1273,Accelerator Pedal Position Sensor 1
4,1,P1212,Mass Air Flow Circuit Intermittent Low
5,1,P1567,Active Banking Control Active - Cruise Control Disabled
6,1,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
7,1,P1630,Theft Deterrent Learn Mode Active
8,1,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
9,1,P1120,Throttle Position (TP) Sensor 1 Circuit
10,1,P1532,A/C Evaporator Temp. Sens. Ckt. Low Voltage
11,1,P1811,Maximum Adapt and Long Shift
12,1,P1354,IC Output High/Pulse Detected when GND_Cyl. 4
13,1,P1237,Injector Circuit Cylinder 6 Intermittent
14,1,P1545,Air Conditioning (A/C) Clutch Relay Control Circuit
15,1,P1642,Vehicle Speed Output Circuit
16,1,P1847,2-3 Shift Solenoid Circuit High Voltage
17,1,P1644,Traction Control Delivered Torque Output Circuit
18,1,P1112,Intake Air Temperature (IAT) Sensor Circuit IntermittentLow Voltage
19,1,P1310,Ignition Coil 3 Primary Feedback Circuit
20,1,P1504,Vehicle Speed Output Circuit
21,1,P1570,Traction Control Active - Cruise Control Disabled
22,1,P1186,EOT Circuit Performance
23,1,P1404,Exhaust Gas Recirculation (EGR) Closed PositionPerformance
24,1,P1571,Traction Control Torque Request Circuit
25,1,P1696,Remote Keyless Entry Voltage High
26,1,P1442,EVAP Vacuum Sw. High Voltage During Ign. On
27,1,P1851,Brake Band Apply Solenoid Performance
28,1,P1370,IC 4X Reference Circuit Too Many Pulses
29,1,P1562,Cruise Vacuum Solenoid
30,1,P1315,Ignition Coil 4 Primary Feedback Circuit
31,1,P1547,A/C System Performance Degraded
32,1,P1529,Heated Windshield Request Problem
33,1,P1286,Accelerator Pedal Position Sensor 3 Circuit Performance
34,1,P1658,Starter Enable Relay Control Circuit
35,1,P1335,CKP Circuit
36,1,P1632,Theft Deterrent Fuel Disable Signal Received
37,1,P1530,Throttle Actuator Control (TAC) Module Internal Circuit
38,1,P1873,TCC Stator Temp. Switch Circuit Low
39,1,P1575,Extended Travel Brake Switch Circuit
40,1,P1374,3X Reference Circuit
41,1,P1528,Governor
42,1,P1366,IC Cylinder 6 Not Toggling After Enable
43,1,P1692,Coolant Gage Circuit High Voltage
44,1,P1117,Engine Coolant Temp. Signal Out-Of-Range Low
45,1,P1818,TFP Valve Position Sw. - Drive Without Drive Ratio
46,1,P1188,EOT Sensor Ckt. High Voltage
47,1,P1106,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
48,1,P1115,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent High Voltage
49,1,P1105,Secondary Vacuum Sensor Circuit
50,1,P1433,Fuel Level Sensor 2 Circuit High Voltage
51,1,P1740,Torque Reduction Signal Circuit
52,1,P1612,Loss of IPM Serial Data
53,1,P1107,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
54,1,P1510,Throttle Control System Performance - Throttle LimitationActive
55,1,P1540,Air Conditioning (A/C) Refrigerant Overpressure - AirConditioning (A/C) Disabled
56,1,P1228,Injector Circuit Cylinder 3 Intermittent
57,1,P1278,Accelerator Pedal Position Sensor 1 Circuit High Voltage
58,1,P1121,Throttle Position (TP) Sensor Circuit Intermittent HighVoltage
59,1,P1844,Torque Reduction Signal Circuit Desired By TCM
60,1,P1509,Idle Speed High - Idle Air Control (IAC) System NotResponding
61,1,P1357,IC Output High/Pulse Detected when GND_Cyl. 7
62,1,P1601,Serial Comm. Problem With Device 1
63,1,P1240,Injector Circuit Cylinder 7 Intermittent
64,1,P1245,Intake Plenum Switchover Valve
65,1,P1860,TCC PWM Solenoid Circuit Electrical
66,1,P1564,Vehicle Acceleration Too High - Cruise Control Disabled
67,1,P1288,Accelerator Pedal Position Sensor 3 Circuit High Voltage
68,1,P1276,Accelerator Pedal Position Sensor 1 Circuit Performance
69,1,P1359,Ignition Coil Group 1 Control Circuit
70,1,P1682,Driver 5 Line 2
71,1,P1114,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent Low Voltage
72,1,P1576,BBV Sensor Ckt. High Voltage
73,1,P1483,Engine Cooling System Performance
74,1,P1271,Accelerator Pedal Position (APP) Sensor 1-2 Correlation
75,1,P1673,Engine Hot Lamp Control Circuit
76,1,P1380,Misfire Detected - Rough Road Data Not Available
77,1,P1864,Torque Converter Clutch Circuit
78,1,P1270,Accelerator Pedal Position Sensor A/D Converter Error
79,1,P1322,EI System or Ignition Control Extra or Missing
80,1,P1346,Intake Camshaft Position [CMP] Sensor System Performance
81,1,P1566,Engine RPM Too High - Cruise Control Disabled
82,1,P1667,Reverse Inhibit Solenoid Control Circuit
83,1,P1305,Ignition Coil 2 Primary Feedback Circuit
84,1,P1572,ASR Active Circuit Low Too Long
85,1,P1421,Intake Air Low Pressure Switch Circuit High Voltage
86,1,P1810,TFP Valve Position Switch Circuit
87,1,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
88,1,P1887,TCC Release Switch Circuit
89,1,P1541,A/C High Side Over Temperature
90,1,P1654,Cruise Control Inhibit Output Circuit
91,1,P1657,1-4 Upshift Solenoid Control Circuit
92,1,P1418,Secondary Air Injection System Relay A Control CircuitHigh
93,1,P1801,Performance Selector Switch Failure
94,1,P1189,Engine Oil Pressure (EOP) Switch Circuit
95,1,P1391,Wheel Speed Sensor 1 - G - Sensor Circuit Performance
96,1,P1356,IC Output High/Pulse Detected when GND_Cyl. 6
97,1,P1624,Customer Snapshot Requested - Data Available
98,1,P1578,BBV Sensor Ckt. Low Vacuum
99,1,P1480,Cooling Fan 1 Control Circuit High
100,1,P1815,Transmission Range Switch - Start In Wrong Range
101,1,P1221,Fuel Pump Secondary Circuit Low
102,1,P1837,Kick-Down Switch Failed Short
103,1,P1743,TP Signal from ECM
104,1,P1581,Cruise Move Circuit High Voltage
105,1,P1392,Wheel Speed Sensor 1 - G - Sensor Circuit Low Voltage
106,1,P1779,Engine Torque Delivered to TCM Signal
107,1,P1559,Cruise Control Power Management Mode
108,1,P1626,Theft Deterrent Fuel Enable Signal Not Received
109,1,P1643,Engine Speed Output Circuit
110,1,P1511,Throttle Control System - Backup System Performance
111,1,P1171,Fuel System Lean During Acceleration
112,1,P1158,HO2S Bank 2 Sensor 2 Rich or High Voltage
113,1,P1191,Intake Air Duct Air Leak
114,1,P1109,Secondary Port Throttle System
115,1,P1144,HO2S Bank 1 Sensor 3 Rich or High Voltage
116,1,P1416,Secondary Air Injection (AIR) System Bank 2
117,1,P1793,Transmission Control Module Stack Overrun
118,1,P1582,Cruise Direction Circuit Low Voltage
119,1,P1122,Throttle Position (TP) Sensor Circuit Intermittent LowVoltage
120,1,P1032,HO2S Heater Warm Up Control Circuit Banks 1 and 2 Sensor 1
121,1,P1285,Accelerator Pedal Position Sensor 3 Circuit
122,1,P1614,Loss of RIM Serial Data
123,1,P1693,Tachometer Circuit Low Voltage
124,1,P1833,A/T Solenoids Power Circuit - Low Voltage
125,1,P1141,HO2S Heater Control Circuit Bank 1 Sensor 2
126,1,P1587,Cruise Control Clutch Control Circuit Low
127,1,P1377,IC Cam Pulse To 4X Reference Pulse
128,1,P1225,Injector Circuit Cylinder 2 Intermittent
129,1,P1606,Serial Communication Problem With Device 6
130,1,P1527,Transmission Range to Pressure Switch Correlation
131,1,P1537,A/C Request Circuit Low Voltage
132,1,P1132,HO2S Circuit Low Variance Bank 2 Sensor 1
133,1,P1376,Ignition Ground Circuit
134,1,P1650,Control Module Output B Circuit
135,1,P1850,Brake Band Apply Solenoid Circuit
136,1,P1621,Control Module Long Term Memory Performance
137,1,P1368,IC Cylinder 8 Not Toggling After Enable
